Time,rsr-backend - 100mb growth,rsr-backend - 10mb growth,rsr-backend - 50mb growth,rsr-reports - 10mb growth,rsr-reports - 50mb growth
2025-08-27 02:30:00,,,,,
2025-08-27 02:45:00,,,,,
2025-08-27 03:00:00,,,,,
2025-08-27 03:15:00,,,,,
2025-08-27 03:30:00,,,,,
2025-08-27 03:45:00,,,,,
2025-08-27 04:00:00,,,,,
2025-08-27 04:15:00,,,,,
2025-08-27 04:30:00,,,,,
2025-08-27 04:45:00,,,,,
2025-08-27 05:00:00,,,,,
2025-08-27 05:15:00,,,,,
2025-08-27 05:30:00,,,,,
2025-08-27 05:45:00,,,,,
2025-08-27 06:00:00,,,,,
2025-08-27 06:15:00,,,,,
2025-08-27 06:30:00,,,,,
2025-08-27 06:45:00,,,,,
2025-08-27 07:00:00,,,,,
2025-08-27 07:15:00,,,,,
2025-08-27 07:30:00,,,,0.0,0.0
2025-08-27 07:45:00,,,,11.186891812432684,0.0
2025-08-27 08:00:00,2.1841444444444447,43.2986033898305,11.40173506148222,62.22407829008701,0.0
2025-08-27 08:15:00,4.5,69.24074074074073,15.555555555555555,109.09183673469389,0.0
