Time,rsr-backend - Gen 0 GC,rsr-backend - Gen 1 GC,rsr-backend - Gen 2 GC,rsr-reports - Gen 0 GC,rsr-reports - Gen 1 GC,rsr-reports - Gen 2 GC
2025-08-27 02:30:00,,,,,,
2025-08-27 02:45:00,,,,,,
2025-08-27 03:00:00,,,,,,
2025-08-27 03:15:00,,,,,,
2025-08-27 03:30:00,,,,,,
2025-08-27 03:45:00,,,,,,
2025-08-27 04:00:00,,,,,,
2025-08-27 04:15:00,,,,,,
2025-08-27 04:30:00,,,,,,
2025-08-27 04:45:00,,,,,,
2025-08-27 05:00:00,,,,,,
2025-08-27 05:15:00,,,,,,
2025-08-27 05:30:00,,,,,,
2025-08-27 05:45:00,,,,,,
2025-08-27 06:00:00,,,,,,
2025-08-27 06:15:00,,,,,,
2025-08-27 06:30:00,,,,,,
2025-08-27 06:45:00,,,,,,
2025-08-27 07:00:00,,,,,,
2025-08-27 07:15:00,,,,,,
2025-08-27 07:30:00,,,,,,
2025-08-27 07:45:00,,,,268.67987826666666,24.33497355555556,0.6914670222222221
2025-08-27 08:00:00,597.2959711345029,54.167779836257296,1.2941895672514618,1026.8701754385963,72.34035087719298,2.5543859649122806
2025-08-27 08:15:00,,,,,,
