Time,rsr-backend - dict objects,rsr-backend - list objects,rsr-reports - dict objects,rsr-reports - list objects
2025-08-27 02:30:00,,,,
2025-08-27 02:45:00,,,,
2025-08-27 03:00:00,,,,
2025-08-27 03:15:00,,,,
2025-08-27 03:30:00,,,,
2025-08-27 03:45:00,,,,
2025-08-27 04:00:00,,,,
2025-08-27 04:15:00,,,,
2025-08-27 04:30:00,,,,
2025-08-27 04:45:00,,,,
2025-08-27 05:00:00,,,,
2025-08-27 05:15:00,,,,
2025-08-27 05:30:00,,,,
2025-08-27 05:45:00,,,,
2025-08-27 06:00:00,,,,
2025-08-27 06:15:00,,,,
2025-08-27 06:30:00,,,,
2025-08-27 06:45:00,,,,
2025-08-27 07:00:00,,,,
2025-08-27 07:15:00,,,,
2025-08-27 07:30:00,,,,
2025-08-27 07:45:00,,,,
2025-08-27 08:00:00,47859.0,38375.0,45551.0,18407.0
2025-08-27 08:15:00,,,,
