Time,rsr-7d759f6dc9-m99vb - ,rsr-7f589d447f-zzrf5 - ,rsr-memcached-7fbb8d49f7-z6jwq - ,rsr-7d759f6dc9-m99vb - .1,rsr-7f589d447f-zzrf5 - .1,rsr-memcached-7fbb8d49f7-z6jwq - .1
2025-08-30 02:30:00,-86538.35472017819,,-82262.32932380686,-86538.35472017819,,-82262.32932380686
2025-08-30 02:45:00,-79987.14237743856,,-1937.311223119717,-79987.14237743856,,-1937.311223119717
2025-08-30 03:00:00,-97111.27275092898,,-2094.7627058091475,-97111.27275092898,,-2094.7627058091475
2025-08-30 03:15:00,-56685.07872331759,,-1301.410229425384,-56685.07872331759,,-1301.410229425384
2025-08-30 03:30:00,-72891.97861972352,,-2064.1941599571624,-72891.97861972352,,-2064.1941599571624
2025-08-30 03:45:00,-76521.94461747416,,-2456.090180239918,-76521.94461747416,,-2456.090180239918
2025-08-30 04:00:00,-76658.671209137,,-2046.0182149187715,-76658.671209137,,-2046.0182149187715
2025-08-30 04:15:00,-44593.18586320875,,-1619.5077056295904,-44593.18586320875,,-1619.5077056295904
2025-08-30 04:30:00,-75299.48486707518,,-2098.5888430818964,-75299.48486707518,,-2098.5888430818964
2025-08-30 04:45:00,-55304.84502857417,,-1850.810588959573,-55304.84502857417,,-1850.810588959573
2025-08-30 05:00:00,-40130.302340560505,,-1293.691998726575,-40130.302340560505,,-1293.691998726575
2025-08-30 05:15:00,-82221.17240727288,,-2831.9352039340465,-82221.17240727288,,-2831.9352039340465
2025-08-30 05:30:00,-68758.22595510735,,-1851.1255047305533,-68758.22595510735,,-1851.1255047305533
2025-08-30 05:45:00,-60489.703925388974,,-1526.0319794857592,-60489.703925388974,,-1526.0319794857592
2025-08-30 06:00:00,-81649.36553370666,,-2570.954323128345,-81649.36553370666,,-2570.954323128345
2025-08-30 06:15:00,-43234.620740374594,,-1598.4424399049014,-43234.620740374594,,-1598.4424399049014
2025-08-30 06:30:00,-25839.846116126795,,-1105.4013152203154,-25839.846116126795,,-1105.4013152203154
2025-08-30 06:45:00,-50035.01654564772,,-1659.78175082644,-50035.01654564772,,-1659.78175082644
2025-08-30 07:00:00,-45462.48374106476,,-1553.706753941854,-45462.48374106476,,-1553.706753941854
2025-08-30 07:15:00,-57675.06840140222,,-2022.7027255977464,-57675.06840140222,,-2022.7027255977464
2025-08-30 07:30:00,-100119.59180231088,,-2241.75026815572,-100119.59180231088,,-2241.75026815572
2025-08-30 07:45:00,-94526.70289019516,,-2552.678864187816,-94526.70289019516,,-2552.678864187816
2025-08-30 08:00:00,-47644.72501168372,,-1312.2884730240894,-47644.72501168372,,-1312.2884730240894
2025-08-30 08:15:00,-63201.98395821943,,-2111.37653716966,-63201.98395821943,,-2111.37653716966
