Time,rsr-backend - Gen 0 GC,rsr-backend - Gen 1 GC,rsr-backend - Gen 2 GC,rsr-reports - Gen 0 GC,rsr-reports - Gen 1 GC,rsr-reports - Gen 2 GC
2025-08-29 20:30:00,104.19666666666669,9.432083333333331,0.32,26547.39884033333,2405.530422155556,59.24517286666666
2025-08-29 20:45:00,,,,21568.33048579487,1954.1795783076925,48.00912061538462
2025-08-29 21:00:00,38.74333333333333,3.499999999999999,0.0066666666666666,21027.11803030303,1905.456212121212,46.55651515151515
2025-08-29 21:15:00,,,,15154.120396,1373.151964,33.574824
2025-08-29 21:30:00,,,,,,
2025-08-29 21:45:00,,,,21003.78,1902.25125,47.9925
2025-08-29 22:00:00,95.5719298245614,8.663157894736841,0.3017543859649123,27016.045614035087,2446.9438596491227,52.88070175438596
2025-08-29 22:15:00,125.895,11.393333333333333,0.37625,44758.97255555555,4054.138666666667,102.0465555555556
2025-08-29 22:30:00,,,,16316.083503611111,1478.202530875,37.82102490277778
2025-08-29 22:45:00,7453.103802900583,676.2531459181286,15.260539087719298,36942.491228070176,3347.5684210526315,87.67017543859649
2025-08-29 23:00:00,,,,23163.39590569136,2099.1165569012346,52.3992657037037
2025-08-29 23:15:00,73.60111111111111,6.6516666666666655,0.2694444444444444,16604.385367930554,1503.9349439583332,37.69703590277777
2025-08-29 23:30:00,,,,6534.939264533335,592.4646162666668,15.322816622222224
2025-08-29 23:45:00,7456.604033398693,676.1322285620915,15.420024836601309,27785.20701754386,2516.859649122807,63.1859649122807
2025-08-30 00:00:00,275.8833333333333,24.984166666666667,0.79,19202.02508230159,1739.5534624761906,44.77012933333334
2025-08-30 00:15:00,,,,39447.27719298245,3574.4245614035085,90.09473684210523
2025-08-30 00:30:00,1141.7322222222224,103.4686111111111,4.258333333333333,44528.2004266013,4036.917814078432,106.99374307189544
2025-08-30 00:45:00,,,,28579.552352592596,2591.62173508642,65.85090158024691
2025-08-30 01:00:00,234.91,21.261666666666667,0.655,33732.803508771925,3055.887719298245,77.0982456140351
2025-08-30 01:15:00,,,,23914.122807017546,2165.536842105263,55.70877192982456
2025-08-30 01:30:00,73.55833333333334,6.666666666666667,0.4791666666666667,38878.76842105264,3522.171929824561,91.82456140350877
2025-08-30 01:45:00,127.91333333333333,11.593333333333332,0.3233333333333333,48724.57192982456,4413.407017543859,107.4
2025-08-30 02:00:00,450.5266666666666,40.85333333333333,0.76,26722.213183333333,2421.4668785380118,65.6846558245614
2025-08-30 02:15:00,,,,28466.737272246908,2578.424692172839,66.94426728395061
