Time,rsr-backend - dict objects,rsr-backend - list objects,rsr-reports - dict objects,rsr-reports - list objects
2025-08-28 08:30:00,48015.0,38505.0,46100.0,28036.0
2025-08-28 08:45:00,,,46109.0,28043.0
2025-08-28 09:00:00,60236.0,35038.0,46098.0,27970.0
2025-08-28 09:15:00,47920.0,28791.0,46152.0,28120.0
2025-08-28 09:30:00,,,46097.0,28034.0
2025-08-28 09:45:00,,,45487.0,18298.0
2025-08-28 10:00:00,,,46147.0,28041.0
2025-08-28 10:15:00,,,46148.0,28035.0
2025-08-28 10:30:00,,,46100.0,28020.0
2025-08-28 10:45:00,48027.0,38235.0,46099.0,28034.0
2025-08-28 11:00:00,,,46097.0,28034.0
2025-08-28 11:15:00,,,46197.0,28063.0
2025-08-28 11:30:00,48577.0,48075.0,46200.0,28143.0
2025-08-28 11:45:00,,,,
2025-08-28 12:00:00,,,46097.0,28034.0
2025-08-28 12:15:00,47110.0,28295.0,46109.0,28042.0
2025-08-28 12:30:00,,,,
2025-08-28 12:45:00,,,46097.0,27978.0
2025-08-28 13:00:00,,,46109.0,28042.0
2025-08-28 13:15:00,,,,
2025-08-28 13:30:00,,,,
2025-08-28 13:45:00,47695.0,38025.0,46107.0,28033.0
2025-08-28 14:00:00,46619.0,28250.0,46201.0,28130.0
2025-08-28 14:15:00,,,,
