Time,rsr-backend - 100mb growth,rsr-backend - 10mb growth,rsr-backend - 50mb growth,rsr-reports - 10mb growth,rsr-reports - 50mb growth
2025-08-29 14:30:00,,16.40406033390904,0.0,583.3317953216375,0.0
2025-08-29 14:45:00,,7.771178226559513,0.0,587.8487795031863,0.0
2025-08-29 15:00:00,0.0,21.44680851063829,5.106382978723404,528.165140141844,0.0
2025-08-29 15:15:00,0.0,49.27777777777777,7.388888888888889,527.5624459212547,0.0
2025-08-29 15:30:00,0.0,46.375,7.4375,479.14449527808017,0.0
2025-08-29 15:45:00,0.0,51.44117647058824,7.411764705882353,541.2687429429429,0.0
2025-08-29 16:00:00,,30.626412362030905,2.187600883002208,444.9635152320761,0.0
2025-08-29 16:15:00,,,,408.7029288702929,0.0
2025-08-29 16:30:00,,1.1594202898550725,0.0,426.01584678899087,0.0
2025-08-29 16:45:00,,0.0,0.0,364.0397727272728,0.0
2025-08-29 17:00:00,,15.77777777777778,2.222222222222222,388.9591836734694,0.0
2025-08-29 17:15:00,0.0,29.7,4.2,425.840123222477,0.0
2025-08-29 17:30:00,0.0,33.23982410346854,4.154978012933568,384.60251046025104,0.0
2025-08-29 17:45:00,0.0,37.5,4.166666666666667,404.6681381762453,0.0
2025-08-29 18:00:00,0.0,53.00174577777778,2.069587178451178,425.74015701132623,0.0
2025-08-29 18:15:00,,39.826086956521735,0.0,373.8458835516739,0.0
2025-08-29 18:30:00,,34.65,0.0,345.21125177807573,0.0
2025-08-29 18:45:00,,37.696614492753625,0.0,324.4861111111111,0.0
2025-08-29 19:00:00,,8.0,0.0,291.2133891213389,0.0
2025-08-29 19:15:00,0.0,10.58333480500368,2.116666961000736,366.5271966527196,0.0
2025-08-29 19:30:00,0.0,12.923076923076923,2.1538461538461537,433.99610324483774,0.0
2025-08-29 19:45:00,0.0,12.499999999999998,2.181818181818182,378.89230769230767,0.0
2025-08-29 20:00:00,0.0,24.547619047619044,4.190476190476191,415.73221757322176,0.0
2025-08-29 20:15:00,0.0,22.09205020920502,4.01673640167364,382.5941422594142,0.0
