Time,rsr-backend - dict objects,rsr-backend - list objects,rsr-reports - dict objects,rsr-reports - list objects
2025-08-29 14:30:00,,,46109.0,28042.0
2025-08-29 14:45:00,,,,
2025-08-29 15:00:00,47360.0,28800.0,46066.0,27770.0
2025-08-29 15:15:00,,,46097.0,28034.0
2025-08-29 15:30:00,,,,
2025-08-29 15:45:00,,,46110.0,28011.0
2025-08-29 16:00:00,,,,
2025-08-29 16:15:00,,,46107.0,28023.0
2025-08-29 16:30:00,45773.0,18454.0,46147.0,28040.0
2025-08-29 16:45:00,,,,
2025-08-29 17:00:00,,,,
2025-08-29 17:15:00,,,,
2025-08-29 17:30:00,,,46147.0,28039.0
2025-08-29 17:45:00,,,46097.0,28034.0
2025-08-29 18:00:00,,,46107.0,28042.0
2025-08-29 18:15:00,,,46097.0,28017.0
2025-08-29 18:30:00,,,,
2025-08-29 18:45:00,,,,
2025-08-29 19:00:00,,,46097.0,27842.0
2025-08-29 19:15:00,45766.0,18495.0,46148.0,27906.0
2025-08-29 19:30:00,,,46099.0,28035.0
2025-08-29 19:45:00,,,,
2025-08-29 20:00:00,,,46107.0,27845.0
2025-08-29 20:15:00,45866.0,18570.0,46100.0,28016.0
