Time,rsr-7d759f6dc9-m99vb - ,rsr-7f589d447f-zzrf5 - ,rsr-memcached-7fbb8d49f7-z6jwq - ,rsr-7d759f6dc9-m99vb - .1,rsr-7f589d447f-zzrf5 - .1,rsr-memcached-7fbb8d49f7-z6jwq - .1
2025-08-30 20:30:00,-52837.47465553423,,-1716.3171292919692,-52837.47465553423,,-1716.3171292919692
2025-08-30 20:45:00,-60117.57406475689,,-2148.4349552419785,-60117.57406475689,,-2148.4349552419785
2025-08-30 21:00:00,-93207.21191600135,,-2212.1954550582814,-93207.21191600135,,-2212.1954550582814
2025-08-30 21:15:00,-55959.90565756651,,-1555.176911402011,-55959.90565756651,,-1555.176911402011
2025-08-30 21:30:00,-78010.36428580857,,-2091.8947256545016,-78010.36428580857,,-2091.8947256545016
2025-08-30 21:45:00,-73592.01522225517,,-1905.5923550958016,-73592.01522225517,,-1905.5923550958016
2025-08-30 22:00:00,-78426.76859299278,,-2080.244499588788,-78426.76859299278,,-2080.244499588788
2025-08-30 22:15:00,-59842.44480170973,,-1470.287218832722,-59842.44480170973,,-1470.287218832722
2025-08-30 22:30:00,-60985.79360460895,,-1555.3533620001217,-60985.79360460895,,-1555.3533620001217
2025-08-30 22:45:00,-92022.71567615676,,-2297.0793935183065,-92022.71567615676,,-2297.0793935183065
2025-08-30 23:00:00,-75875.47147096533,,-1821.1831153388823,-75875.47147096533,,-1821.1831153388823
2025-08-30 23:15:00,-61830.42721552592,,-1755.731202860812,-61830.42721552592,,-1755.731202860812
2025-08-30 23:30:00,-56357.57101230244,,-1585.1522390020932,-56357.57101230244,,-1585.1522390020932
2025-08-30 23:45:00,-82343.01661515007,,-2080.184610998253,-82343.01661515007,,-2080.184610998253
2025-08-31 00:00:00,-50174.19254988085,,-1783.3350891138416,-50174.19254988085,,-1783.3350891138416
2025-08-31 00:15:00,-48232.79482303929,,-1435.7223686038517,-48232.79482303929,,-1435.7223686038517
2025-08-31 00:30:00,-55332.110448781226,,-1371.9211345856493,-55332.110448781226,,-1371.9211345856493
2025-08-31 00:45:00,-55171.78936036773,,-1982.7907437569168,-55171.78936036773,,-1982.7907437569168
2025-08-31 01:00:00,-67926.31651265845,,-1923.9725478037165,-67926.31651265845,,-1923.9725478037165
2025-08-31 01:15:00,-70900.10270085224,,-1830.4442500427892,-70900.10270085224,,-1830.4442500427892
2025-08-31 01:30:00,-79631.07221576729,,-1804.240578905942,-79631.07221576729,,-1804.240578905942
2025-08-31 01:45:00,-61897.28293838704,,-1847.33175921946,-61897.28293838704,,-1847.33175921946
2025-08-31 02:00:00,-99380.35356132408,,-3096.1268762280406,-99380.35356132408,,-3096.1268762280406
2025-08-31 02:15:00,-70995.35557988817,,-94342.57960180356,-70995.35557988817,,-94342.57960180356
