Time,rsr-backend - 100mb growth,rsr-backend - 10mb growth,rsr-backend - 50mb growth,rsr-reports - 10mb growth,rsr-reports - 50mb growth
2025-08-27 20:30:00,2.142857142857143,120.65436444444444,20.278044444444447,599.8751586099473,0.0
2025-08-27 20:45:00,0.0,58.467514146341465,15.386187933247754,571.5393435977887,0.0
2025-08-27 21:00:00,0.0,127.47065620915032,12.304483730789611,579.1658359563181,0.0
2025-08-27 21:15:00,0.0,139.53409090909088,14.318181818181818,629.5714285714287,0.0
2025-08-27 21:30:00,0.0,126.76940865800869,11.337101587301587,533.7473612704147,0.0
2025-08-27 21:45:00,1.0735259047619048,132.2593803542673,10.1869307568438,555.9674388811188,0.0
2025-08-27 22:00:00,20.571428571428573,276.90425531914894,51.53191489361701,582.6814174646853,0.0
2025-08-27 22:15:00,20.588235294117645,267.225,49.2,536.213231594203,0.0
2025-08-27 22:30:00,20.588235294117645,272.609716575592,49.6567606557377,570.3765690376569,0.0
2025-08-27 22:45:00,28.491915233785825,452.8870292887029,66.27615062761507,483.0252100840336,0.0
2025-08-27 23:00:00,9.473684210526317,220.97289507246376,22.956521739130437,379.808434334764,0.0
2025-08-27 23:15:00,9.473684210526317,217.89189189189187,22.5945945945946,351.4644351464435,0.0
2025-08-27 23:30:00,11.250627751937984,236.98744769874477,26.10878661087866,485.02092050209205,0.0
2025-08-27 23:45:00,21.875,112.21068235294118,40.07402352941177,524.18410041841,0.0
2025-08-28 00:00:00,22.477272727272727,106.625,38.57812500000001,576.2874875536481,0.0
2025-08-28 00:15:00,22.92918317152104,146.0030162679426,46.63985241892611,698.0947761899547,0.0
2025-08-28 00:30:00,19.806284684684684,109.20663397117885,40.17979929128278,547.846776124513,0.0
2025-08-28 00:45:00,0.0,44.120396261682245,9.45437062750334,520.1673640167364,0.0
2025-08-28 01:00:00,0.0,115.02702702702702,24.64864864864865,619.5815899581589,0.0
2025-08-28 01:15:00,0.0,94.78787878787878,15.454545454545451,616.3320610687023,0.0
2025-08-28 01:30:00,0.0,125.61637103140832,20.26070500506586,693.969647757415,0.0
2025-08-28 01:45:00,0.0,172.6411664361702,24.23033914893617,790.0480398113675,0.0
2025-08-28 02:00:00,0.0,156.61016949152545,20.338983050847457,787.2803347280335,0.0
2025-08-28 02:15:00,0.0,138.42857142857142,20.35714285714285,727.6129282269504,0.0
